"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"EG1206_NOSILK";1;"SW_SPDT";;;
2;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";1;"47";;;
3;"R7,R6,R5,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";5;"220";;;
4;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";1;"10";;;
5;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";1;"1k";;;
6;"R9,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";2;"10k";;;
7;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_VALMOD";1;"470";;;
8;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical_NOSILK";1;"10k";;;
9;"D6,D5,D4,D3,D2";"LED_D5.0mm_NOSILK";5;"LED";;;
10;"J9";"Tayda_3.5mm_stereo_TRS_jack_A-853_NOSILK";1;"AudioJack3_Ground_Switch";;;
11;"RV2,RV4,RV3,RV5";"Potentiometer_Alps_RK09K_Single_Vertical_NOSILK";4;"R_POT";;;
12;"SW2,SW7,SW6,SW5,SW4,SW3";"SW_PUSH-12mm_Wuerth-430476085716_NOSILK";6;"SW_Push";;;
13;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
14;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";8;"MountingHole_3.2mm_M3";;;
15;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
16;"C8,C12,C11,C7";"CP_Radial_D6.3mm_P2.50mm";4;"CP";;;
17;"C17,C15";"CP_Radial_D6.3mm_P2.50mm";2;"10uF";;;
18;"C13";"CP_Radial_D6.3mm_P2.50mm";1;"2.2uF";;;
19;"C9,C4";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"C";;;
20;"C6,C5";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"22pF";;;
21;"C14";"C_Disc_D3.4mm_W2.1mm_P2.50mm";1;"220nF";;;
22;"C16,C18";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"100nF";;;
23;"J1,J6";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Female";;;
24;"J8,J5";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05_Female";;;
25;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
26;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
27;"U2";"DIP-28_W7.62mm_Socket";1;"ATmega328P-PU";;;
28;"U3";"DIP-8_W7.62mm_Socket";1;"LM386";;;
