Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0402_1005Metric,76.223,-112.522,0,bottom
C5,22uF,C_0603_1608Metric,86.36,-113.2585,270,bottom
D7,1N4148,D_SOD-123,122,-116.35,270,bottom
D8,1N5817,D_SOD-123,109.22,-134.62,270,bottom
D9,LED,LED_0805_2012Metric,124.5,-139.5,0,bottom
R1,680,R_0805_2012Metric,93.98,-113.538,270,bottom
R2,680,R_0805_2012Metric,91.44,-113.538,270,bottom
R3,680,R_0805_2012Metric,88.9,-113.538,270,bottom
R4,680,R_0805_2012Metric,68.58,-113.538,270,bottom
R5,680,R_0805_2012Metric,66.04,-113.538,270,bottom
R6,680,R_0805_2012Metric,60.96,-139.7,0,bottom
R7,220,R_0805_2012Metric,122,-121.9375,90,bottom
R8,10k,R_0805_2012Metric,106,-117.0625,90,bottom
R9,470,R_0805_2012Metric,106,-113,270,bottom
R10,220,R_0805_2012Metric,86,-148,270,bottom
R11,220,R_0805_2012Metric,89,-148,270,bottom
R12,220,R_0805_2012Metric,79.756,-113.4595,270,bottom
R13,220,R_0805_2012Metric,82.804,-113.4595,90,bottom
R14,270,R_0805_2012Metric,73.66,-113.538,270,bottom
SW1,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,137,-87,270,bottom
SW2,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,124,-87,270,bottom
SW3,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,111,-87,270,bottom
SW4,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,89,-87,270,bottom
SW5,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,76,-87,270,bottom
SW6,SW_Push,SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR,63,-87,270,bottom
U1,6N138,PowerIntegrations_SMD-8,114,-116,270,bottom
